Region,Relationship,Sex,Age,Times Left the Country,Month of Last Departure,Year of Last Departure,Marital Status,Education Level,Usual Work,Reason for Leaving,Base,Country Stayed,Expected Return (Months),Worked Abroad,Work,Industry,Average Monthly Income,Months Worked,Returned,Month Returned,Year Returned,Return Reason,Expected Month Returned,Expected Year Returned,Remittance Received,Cash Remittance,Mode of Remittance,Consumptions,Investments,Savings,Gift/Donation,Other,Consumptions Percent,Investments Percent,Savings Percent,Gift/Donation Percent,Other Percent,Returned Apr-Sep,Cash Brought Home,Receive Goods/Products,Total Imputed Value of Goods/Products
Ilocos,Child,Female,26,2,July,2023,Single,Post-Secondary Non-Tertiary/Technical-Vocational Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Taiwan,24,Yes,Plant and Machine Operators and Assemblers,Manufacturing,35000.0,50.0,No,,,,July,2025.0,With Remittance,30000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,Yes,30000.0,No,0.0
Ilocos,Child,Female,31,2,March,2023,Single,College Graduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,Other Countries in Western Asia,48,Yes,Service and Sales Workers,Other Service Activities,40000.0,46.0,No,,,,March,2027.0,With Remittance,40000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Male,38,2,September,2023,Married/Living Together,Junior High Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Taiwan,36,Yes,Elementary Occupations,Manufacturing,35000.0,36.0,No,,,,September,2026.0,With Remittance,60000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,Yes,20000.0,No,0.0
Ilocos,Spouse,Female,30,1,December,2022,Married/Living Together,Post-Secondary Non-Tertiary/Technical-Vocational Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Taiwan,36,Yes,Elementary Occupations,Manufacturing,30000.0,9.0,No,,,,December,2025.0,With Remittance,36000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Male,40,1,September,2023,Married/Living Together,Junior High Graduate,"Skilled Agricultural, Forestry and Fishery Workers",Immigrant,N/A,North and South America,88,No,N/A,N/A,0.0,0.0,No,,,,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Female,49,2,July,2023,Married/Living Together,Junior High Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Europe,88,Yes,Elementary Occupations,Other Service Activities,50000.0,26.0,No,,,,,,With Remittance,100000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,Yes,30000.0,Yes,35000.0
Ilocos,Other,Female,40,2,September,2020,Divorced/Separated,Post-Secondary Non-Tertiary/Technical-Vocational Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,48,Yes,Elementary Occupations,Other Service Activities,30000.0,52.0,No,,,,September,2024.0,With Remittance,90000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Children's Spouse,Female,52,1,May,2023,Married/Living Together,College Graduate,"Skilled Agricultural, Forestry and Fishery Workers",Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,30,Yes,Elementary Occupations,Other Service Activities,25000.0,4.0,No,,,,November,2025.0,With Remittance,25000.0,Money Transer Service,True,False,True,False,False,50.0,0.0,50.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Female,43,1,January,2022,Married/Living Together,Junior High Undergraduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,24,Yes,Elementary Occupations,Other Service Activities,25000.0,20.0,No,,,,January,2024.0,With Remittance,60000.0,Money Transer Service,True,True,True,False,False,30.0,20.0,50.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Head,Male,72,1,October,2022,Married/Living Together,Post-Secondary Non-Tertiary/Technical-Vocational Graduate,Plant and Machine Operators and Assemblers,Tourist,N/A,North and South America,1,No,N/A,N/A,0.0,0.0,Yes,November,2022.0,Other,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Female,70,1,October,2022,Married/Living Together,College Graduate,Professionals,Tourist,N/A,North and South America,1,No,N/A,N/A,0.0,0.0,Yes,November,2022.0,Other,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Head,Male,69,1,November,2018,Married/Living Together,College Graduate,Service and Sales Workers,Tourist,N/A,Japan,1,No,N/A,N/A,0.0,0.0,Yes,December,2018.0,Other,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Female,71,1,November,2018,Married/Living Together,College Graduate,Professionals,Tourist,N/A,Japan,1,No,N/A,N/A,0.0,0.0,Yes,December,2018.0,Other,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Male,44,1,January,2023,Married/Living Together,College Graduate,Clerical Support Workers,Immigrant,Land-based,North and South America,88,Yes,Clerical Support Workers,Administrative and Support Service Activities,120000.0,8.0,No,,,,,,With Remittance,24000.0,Bank,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Sibling,Female,42,1,May,2019,Married/Living Together,College Graduate,Elementary Occupations,Immigrant,Land-based,North and South America,55,Yes,Service and Sales Workers,Accommodation and Food Service Activities,100000.0,48.0,No,,,,December,2023.0,With Remittance,120000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,Yes,15000.0
Ilocos,Parent,Female,67,1,December,2018,Widowed,College Graduate,Professionals,Other OFW with no Contract,Land-based,Europe,13,Yes,Elementary Occupations,Other Service Activities,150000.0,13.0,Yes,January,2020.0,Other,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Male,37,1,January,2023,Married/Living Together,Junior High Graduate,Clerical Support Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,Other Countries in East Asia,60,Yes,Elementary Occupations,Manufacturing,60000.0,8.0,No,,,,January,2028.0,With Remittance,144000.0,Bank,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Children's Spouse,Female,48,2,October,2020,Married/Living Together,Junior High Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,24,Yes,Elementary Occupations,Other Service Activities,30000.0,48.0,Yes,July,2023.0,End of Contract,,,With Remittance,90000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,Yes,55000.0,No,0.0
Ilocos,Sibling,Male,34,2,July,2023,Single,College Graduate,Professionals,Overseas Filipino Worker (OFW) with Contract,Land-based,Singapore,24,Yes,Professionals,Human Health and Social Work Activities,35000.0,38.0,No,,,,July,2025.0,With Remittance,40000.0,Bank,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,38,1,December,2019,Single,College Graduate,Clerical Support Workers,Immigrant,Land-based,Australia,88,Yes,Clerical Support Workers,"Professional, Scientific and Technical Activities",60000.0,45.0,No,,,,,,With Remittance,72000.0,Bank,True,False,True,False,False,80.0,0.0,20.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Male,39,1,December,2019,Married/Living Together,College Graduate,Professionals,Immigrant,Land-based,Australia,88,Yes,Clerical Support Workers,Administrative and Support Service Activities,40000.0,45.0,No,,,,,,With Remittance,12000.0,Bank,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Children's Spouse,Female,38,1,December,2019,Married/Living Together,College Graduate,Service and Sales Workers,Immigrant,Land-based,Australia,88,Yes,Clerical Support Workers,Administrative and Support Service Activities,40000.0,45.0,No,,,,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Grandchild,Female,7,1,December,2019,Single,Elementary Undergraduate,Non-gainful occupations,Immigrant,N/A,Australia,88,No,N/A,N/A,0.0,0.0,No,,,,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Head,Male,68,1,July,2019,Married/Living Together,College Graduate,Service and Sales Workers,Tourist,N/A,North and South America,3,No,N/A,N/A,0.0,0.0,Yes,October,2019.0,Other,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Female,66,1,July,2019,Married/Living Together,College Graduate,Service and Sales Workers,Tourist,N/A,North and South America,3,No,N/A,N/A,0.0,0.0,Yes,October,2019.0,Other,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Children's Spouse,Female,34,1,February,2023,Married/Living Together,Junior High Graduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,Malaysia,24,Yes,Elementary Occupations,Other Service Activities,30000.0,7.0,No,,,,February,2025.0,With Remittance,60000.0,Money Transer Service,True,False,True,False,False,80.0,0.0,20.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Female,47,2,July,2023,Married/Living Together,Post-Secondary Non-Tertiary/Technical-Vocational Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,North and South America,24,Yes,Elementary Occupations,Other Service Activities,30000.0,57.0,No,,,,July,2025.0,With Remittance,30000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Sibling,Male,54,1,December,2020,Married/Living Together,Junior High Graduate,Plant and Machine Operators and Assemblers,Immigrant,Land-based,North and South America,88,Yes,Service and Sales Workers,Administrative and Support Service Activities,40000.0,33.0,No,,,,,,With Remittance,60000.0,Bank,True,True,True,False,False,50.0,20.0,30.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Other,Female,53,1,December,2020,Married/Living Together,College Graduate,Professionals,Immigrant,Land-based,North and South America,88,Yes,Clerical Support Workers,Administrative and Support Service Activities,60000.0,33.0,No,,,,,,With Remittance,30000.0,Bank,True,False,True,False,False,80.0,0.0,20.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,38,3,September,2023,Married/Living Together,College Graduate,Service and Sales Workers,Immigrant,Land-based,North and South America,88,Yes,Service and Sales Workers,Other Service Activities,224000.0,58.0,No,,,,,,With Remittance,90000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Children's Spouse,Male,38,2,October,2022,Married/Living Together,College Undergraduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,Qatar,24,Yes,Plant and Machine Operators and Assemblers,Other Service Activities,30000.0,47.0,No,,,,October,2024.0,With Remittance,90000.0,Bank,True,False,True,False,False,75.0,0.0,25.0,0.0,0.0,No,0.0,Yes,40000.0
Ilocos,Parent,Female,81,1,September,2019,Widowed,Elementary Graduate,Elementary Occupations,Immigrant,N/A,North and South America,88,No,N/A,N/A,0.0,0.0,No,,,,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,Yes,50000.0
Ilocos,Spouse,Male,49,2,May,2021,Married/Living Together,College Graduate,Plant and Machine Operators and Assemblers,Overseas Filipino Worker (OFW) with Contract,Land-based,United Arab Emirates,36,Yes,Plant and Machine Operators and Assemblers,Transportation and Storage,30000.0,49.0,No,,,,May,2024.0,With Remittance,100000.0,Money Transer Service,True,False,True,False,False,80.0,0.0,20.0,0.0,0.0,Yes,15000.0,Yes,35000.0
Ilocos,Parent,Female,73,1,April,2023,Widowed,Junior High Graduate,"Skilled Agricultural, Forestry and Fishery Workers",Tourist,N/A,Australia,12,No,N/A,N/A,0.0,0.0,No,,,,April,2024.0,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,58,3,September,2023,Married/Living Together,College Graduate,Professionals,Immigrant,Land-based,North and South America,88,Yes,Professionals,Education,120000.0,51.0,No,,,,,,With Remittance,80000.0,Bank,True,False,False,True,False,80.0,0.0,0.0,20.0,0.0,No,0.0,Yes,20000.0
Ilocos,Child,Female,51,3,September,2023,Married/Living Together,College Graduate,Professionals,Immigrant,Land-based,North and South America,88,Yes,Professionals,Human Health and Social Work Activities,200000.0,51.0,No,,,,,,With Remittance,85000.0,Bank,True,False,True,True,False,60.0,0.0,30.0,10.0,0.0,No,0.0,Yes,19000.0
Ilocos,Spouse,Female,53,2,January,2021,Married/Living Together,Post-Secondary Non-Tertiary/Technical-Vocational Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Other Countries in Western Asia,33,Yes,Elementary Occupations,Other Service Activities,28000.0,48.0,No,,,,October,2023.0,With Remittance,67200.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Female,30,1,April,2023,Married/Living Together,Junior High Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,24,Yes,Elementary Occupations,Other Service Activities,30000.0,5.0,No,,,,April,2025.0,With Remittance,90000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,40,2,April,2022,Single,Junior High Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,United Arab Emirates,24,Yes,Elementary Occupations,Other Service Activities,35000.0,58.0,No,,,,April,2024.0,With Remittance,84000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,Yes,14000.0
Ilocos,Child,Male,32,1,August,2019,Married/Living Together,College Graduate,Professionals,Immigrant,Land-based,North and South America,88,Yes,Professionals,Human Health and Social Work Activities,120000.0,49.0,No,,,,,,With Remittance,120000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,Yes,10000.0
Ilocos,Child,Female,28,1,August,2022,Single,College Graduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,24,Yes,Elementary Occupations,Other Service Activities,30000.0,13.0,No,,,,August,2024.0,With Remittance,90000.0,Money Transer Service,True,True,True,False,False,70.0,20.0,10.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Head,Male,50,1,April,2019,Married/Living Together,Junior High Graduate,Plant and Machine Operators and Assemblers,Overseas Filipino Worker (OFW) with Contract,Land-based,Saudi Arabia,36,Yes,Plant and Machine Operators and Assemblers,Transportation and Storage,40000.0,36.0,Yes,April,2022.0,Other,,,No Remittance,0.0,N/A,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,28,1,September,2022,Single,Post-Secondary Non-Tertiary/Technical-Vocational Graduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,24,Yes,Elementary Occupations,Other Service Activities,30000.0,12.0,No,,,,September,2024.0,With Remittance,90000.0,Money Transer Service,True,True,True,False,False,60.0,30.0,10.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Female,27,1,December,2019,Single,College Graduate,Clerical Support Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,Other Countries in East Asia,88,Yes,Elementary Occupations,Accommodation and Food Service Activities,30000.0,45.0,No,,,,,,With Remittance,90000.0,Money Transer Service,True,True,True,False,False,50.0,40.0,10.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Female,47,2,July,2023,Married/Living Together,Junior High Graduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,24,Yes,Elementary Occupations,Other Service Activities,30000.0,53.0,No,,,,July,2025.0,With Remittance,30000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Child,Male,38,2,December,2022,Single,College Graduate,Professionals,Overseas Filipino Worker (OFW) with Contract,Land-based,United Arab Emirates,36,Yes,Professionals,Education,60000.0,57.0,No,,,,December,2025.0,With Remittance,90000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Children's Spouse,Male,37,1,May,2023,Married/Living Together,College Graduate,Professionals,Overseas Filipino Worker (OFW) with Contract,Land-based,North and South America,88,Yes,Service and Sales Workers,Other Service Activities,144000.0,4.0,No,,,,,,With Remittance,160000.0,Bank,True,False,True,False,False,50.0,0.0,50.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Spouse,Female,64,1,October,2019,Married/Living Together,Post-Secondary Non-Tertiary/Technical-Vocational Graduate,Elementary Occupations,Overseas Filipino Worker (OFW) with Contract,Land-based,Other Countries in Western Asia,88,Yes,Elementary Occupations,Other Service Activities,40000.0,47.0,No,,,,,,With Remittance,60000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,No,0.0,No,0.0
Ilocos,Children's Spouse,Female,25,2,September,2023,Married/Living Together,College Graduate,Service and Sales Workers,Overseas Filipino Worker (OFW) with Contract,Land-based,Hongkong,24,Yes,Elementary Occupations,Other Service Activities,32000.0,48.0,No,,,,September,2025.0,With Remittance,40000.0,Money Transer Service,True,False,False,False,False,100.0,0.0,0.0,0.0,0.0,Yes,20000.0,Yes,35000.0
